order_id,customer_id,payment_company,payment_country,shipping_city,shipping_country,国家是否相同,product_details
'43534','9634',,Australia,Melbourne,Australia,TRUE,"'Product Qty: 1, Product SKU: 90020 ; '"
'43535','9635',"CURTIN UNIVERSITY OF SARAWAK, MALAYSIA",Malaysia,Miri,Malaysia,TRUE,"'Product Qty: 5, Product SKU: 13030 ; '"
'43536','9635',"CURTIN UNIVERSITY OF SARAWAK, MALAYSIA",Malaysia,Miri,Malaysia,TRUE,"'Product Qty: 4, Product SKU: 13030 ; '"
'43537','9632',,United States,Bridgewater,United States,TRUE,"'Product Qty: 1, Product SKU: 14202 ; Product Qty: 2, Product SKU: 13801 ; '"
'43538','2399',,China,shenzhen,China,TRUE,"'Product Qty: 1, Product SKU: 90053 ; '"
'43539','9512',,Australia,Rosemeadow,Australia,TRUE,"'Product Qty: 1, Product SKU: 90053 ; Product Qty: 1, Product SKU: 11008 ; Product Qty: 1, Product SKU: 13400 ; Product Qty: 1, Product SKU: 13412 ; Product Qty: 1, Product SKU: 14202 ; Product Qty: 1, Product SKU: 10050 ; '"
'43540','9661',,Spain,Málaga,Spain,TRUE,"'Product Qty: 1, Product SKU: 90053 ; '"
'43541','9664',,Mexico,matamoros,Mexico,TRUE,"'Product Qty: 1, Product SKU: 90082 ; '"
'43542','9665',DESINO GmbH,Germany,Köln,Germany,TRUE,"'Product Qty: 2, Product SKU: 12035 ; Product Qty: 2, Product SKU: 81042 ; Product Qty: 1, Product SKU: 10050 ; Product Qty: 1, Product SKU: 13035 ; Product Qty: 1, Product SKU: 14222 ; Product Qty: 1, Product SKU: 14008 ; Product Qty: 1, Product SKU: 14000 ; Product Qty: 1, Product SKU: 14017 ; '"
'43543','9330',Reltech,South Africa,Johannesburg,South Africa,TRUE,"'Product Qty: 1, Product SKU: 10050 ; '"
'43544','6775',,United States,rosemead,United States,TRUE,"'Product Qty: 9, Product SKU: 90024 ; Product Qty: 1, Product SKU: 90070 ; '"
'43545','6775',,United States,rosemead,United States,TRUE,"'Product Qty: 21, Product SKU: 90024 ; '"
'43547','7392',,"France, Metropolitan",Versailles,"France, Metropolitan",TRUE,"'Product Qty: 1, Product SKU: 10050 ; '"
'43548','9397',Black Ark Art & Design Studio,United States,Norfolk,United States,TRUE,"'Product Qty: 1, Product SKU: 12008 ; Product Qty: 1, Product SKU: 10050 ; '"
'43549','7080',THE LUDIC PLAYGROUND COMPANY,Spain,Valencia,Spain,TRUE,"'Product Qty: 1, Product SKU: 14403 ; Product Qty: 1, Product SKU: 98052 ; Product Qty: 1, Product SKU: 13412 ; '"
'43550','9672',,Germany,Goslar,Germany,TRUE,"'Product Qty: 1, Product SKU: 90053 ; Product Qty: 1, Product SKU: 98052 ; Product Qty: 1, Product SKU: 98050 ; Product Qty: 1, Product SKU: 13412 ; '"
'43551','9674',,United States,Delray Beach,United States,TRUE,"'Product Qty: 1, Product SKU: 10504 ; Product Qty: 2, Product SKU: 62448 ; Product Qty: 1, Product SKU: 10050 ; '"
'43552','7695',PiShop Pty Ltd,South Africa,Henley On Klip,South Africa,TRUE,"'Product Qty: 6, Product SKU: 12040 ; Product Qty: 6, Product SKU: 12035 ; '"
